Item No	Color	Code
44	Black	4660886
44	Blue	6061202
44	Green	4119417
44	Light Bluish Gray	4211575
44	Red	4204710
44	Red	4614799
44	White	6175556
52	Flat Silver	4633692
52	Glitter Trans-Light Blue	6093748
52	Metallic Gold	4519317
52	Metallic Gold	6051533
52	Metallic Silver	4519218
52	Metallic Silver	4519318
52	Metallic Silver	6051536
52	Pearl Gold	4516816
52	Pearl Gold	6174085
52	Trans-Bright Green	6134621
52	Trans-Dark Blue	4541538
52	Trans-Dark Pink	6099532
52	Trans-Green	4541539
52	Trans-Green	4655335
52	Trans-Light Blue	4155514
52	Trans-Light Blue	4247131
52	Trans-Medium Blue	4243703
52	Trans-Neon Green	4124010
52	Trans-Neon Green	4540417
52	Trans-Orange	4541536
52	Trans-Red	4541537
52	Yellow	6074928
52	Yellow	6176584
52	Yellow	6194508
59	Chrome Gold	4180727
59	Chrome Gold	4509211
59	Chrome Silver	4649842
59	Chrome Silver	71014
60c01	White	4270486
60c01	White	4535052
60c01	White	4540381
60c01	White	6025005
60c01	White	6036892
60c01	White	6198486
67c01	White	4529226
69c03	White	4287429
75c03	Light Bluish Gray	4502039
75c03	Reddish Brown	6030330
75c04	Black	4509097
75c04	Black	6145214
75c05	Dark Bluish Gray	4251457
75c05	Red	4201592
75c06	Black	4495367
75c06	Black	4546459
75c06	Black	4640742
75c07	Black	6039885
75c07	Blue	4508619
75c07	Dark Bluish Gray	6152428
75c07	Red	4287970
75c07	Reddish Brown	6214342
75c08	Black	4291596
75c08	Black	4612563
75c08	Black	6193640
75c08	Blue-Violet	4291596
75c08	Light Bluish Gray	4514192
75c08	Orange	6143945
75c09	Black	4614226
75c09	Green	4119412
75c09	Light Bluish Gray	6153796
75c10	Black	4116941
75c10	Black	4505034
75c10	Light Bluish Gray	4293768
75c10	Metallic Gold	4143803
75c10	Red	6024725
75c10	Tan	4129567
75c10	White	4143800
75c10	Yellow	4124079
75c10	Yellow	4551629
75c11	Black	4526794
75c11	Black	6112605
75c11	Light Bluish Gray	6191989
75c12	Black	4296268
75c12	Black	4526794
75c12	Flat Silver	6024370
75c12	Light Bluish Gray	4514197
75c12	Red	6024918
75c13	Black	4630754
75c13	Black	6148175
75c14	Black	4288480
75c14	Black	6113961
75c14	Dark Bluish Gray	4285898
75c14	Light Bluish Gray	4293764
